,sample,filter,JP from Inter NF,JP from JP NF,GP from Inter NF,GP from GP NF,ff,fb
69,TCGAAOA0JM01A21RA05607,0A53AGA,3,22,1,2,"(0, Any, 5)","(3, Any)"
70,TCGABHA18V01A11RA12D07,02101GA,0,16,2,3,"(0, 2, 1)","(0, 1)"
71,TCGABHA18V01A11RA12D07,02512GA,0,0,0,0,"(0, 2, 5)","(1, 2)"
72,TCGABHA18V01A11RA12D07,02501GA,0,0,0,0,"(0, 2, 5)","(0, 1)"
73,TCGABHA18V01A11RA12D07,0251XGA,0,0,0,0,"(0, 2, 5)","(1, 10)"
74,TCGABHA18V01A11RA12D07,0AN3AGA,10,1084,2,16,"(0, Any, None)","(3, Any)"
75,TCGABHA18V01A11RA12D07,0211XGA,0,17,3,3,"(0, 2, 1)","(1, 10)"
76,TCGABHA18V01A11RA12D07,0A532GA,0,15,0,0,"(0, Any, 5)","(3, 2)"
77,TCGABHA18V01A11RA12D07,0213XGA,1,37,24,6,"(0, 2, 1)","(3, 10)"
78,TCGABHA18V01A11RA12D07,0AN3XGA,6,1016,2,11,"(0, Any, None)","(3, 10)"
79,TCGABHA18V01A11RA12D07,0AN1XGA,2,563,2,6,"(0, Any, None)","(1, 10)"
80,TCGABHA18V01A11RA12D07,0A51XGA,0,11,0,0,"(0, Any, 5)","(1, 10)"
81,TCGABHA18V01A11RA12D07,0AN1AGA,2,563,2,6,"(0, Any, None)","(1, Any)"
82,TCGABHA18V01A11RA12D07,0A112GA,0,77,1,3,"(0, Any, 1)","(1, 2)"
83,TCGABHA18V01A11RA12D07,0AN01GA,2,554,2,6,"(0, Any, None)","(0, 1)"
84,TCGABHA18V01A11RA12D07,0A51AGA,0,11,0,0,"(0, Any, 5)","(1, Any)"
85,TCGABHA18V01A11RA12D07,0A501GA,0,10,0,0,"(0, Any, 5)","(0, 1)"
86,TCGABHA18V01A11RA12D07,0A13XGA,3,261,1,7,"(0, Any, 1)","(3, 10)"
87,TCGABHA18V01A11RA12D07,02112GA,0,17,3,3,"(0, 2, 1)","(1, 2)"
88,TCGABHA18V01A11RA12D07,0A512GA,0,11,0,0,"(0, Any, 5)","(1, 2)"
89,TCGABHA18V01A11RA12D07,0A11AGA,0,77,1,3,"(0, Any, 1)","(1, Any)"
90,TCGABHA18V01A11RA12D07,0A132GA,0,124,1,4,"(0, Any, 1)","(3, 2)"
91,TCGABHA18V01A11RA12D07,0253AGA,1,7,1,1,"(0, 2, 5)","(3, Any)"
92,TCGABHA18V01A11RA12D07,0211AGA,0,17,3,3,"(0, 2, 1)","(1, Any)"
93,TCGABHA18V01A11RA12D07,02532GA,0,5,0,0,"(0, 2, 5)","(3, 2)"
94,TCGABHA18V01A11RA12D07,0AN32GA,2,719,2,8,"(0, Any, None)","(3, 2)"
95,TCGABHA18V01A11RA12D07,0213AGA,3,44,32,11,"(0, 2, 1)","(3, Any)"
96,TCGABHA18V01A11RA12D07,0A53XGA,1,26,0,1,"(0, Any, 5)","(3, 10)"
97,TCGABHA18V01A11RA12D07,0251AGA,0,0,0,0,"(0, 2, 5)","(1, Any)"
98,TCGABHA18V01A11RA12D07,0A101GA,0,75,1,3,"(0, Any, 1)","(0, 1)"
99,TCGABHA18V01A11RA12D07,0A11XGA,0,77,1,3,"(0, Any, 1)","(1, 10)"
100,TCGABHA18V01A11RA12D07,0253XGA,0,6,1,0,"(0, 2, 5)","(3, 10)"
101,TCGABHA18V01A11RA12D07,0A13AGA,6,311,1,12,"(0, Any, 1)","(3, Any)"
102,TCGABHA18V01A11RA12D07,02132GA,0,26,6,3,"(0, 2, 1)","(3, 2)"
103,TCGABHA18V01A11RA12D07,0AN12GA,2,563,2,6,"(0, Any, None)","(1, 2)"
104,TCGABHA18V01A11RA12D07,0A53AGA,3,39,0,5,"(0, Any, 5)","(3, Any)"
105,TCGAA2A0D201A21RA03407,02501GA,0,6,0,0,"(0, 2, 5)","(0, 1)"
106,TCGAA2A0D201A21RA03407,0A501GA,0,11,0,0,"(0, Any, 5)","(0, 1)"
107,TCGAA2A0D201A21RA03407,0251AGA,0,6,0,0,"(0, 2, 5)","(1, Any)"
108,TCGAA2A0D201A21RA03407,0AN12GA,1,549,0,3,"(0, Any, None)","(1, 2)"
109,TCGAA2A0D201A21RA03407,0253XGA,0,8,0,0,"(0, 2, 5)","(3, 10)"
110,TCGAA2A0D201A21RA03407,0A13AGA,1,271,0,3,"(0, Any, 1)","(3, Any)"
111,TCGAA2A0D201A21RA03407,02112GA,0,15,2,0,"(0, 2, 1)","(1, 2)"
112,TCGAA2A0D201A21RA03407,0213AGA,0,40,21,3,"(0, 2, 1)","(3, Any)"
113,TCGAA2A0D201A21RA03407,0A51AGA,0,11,0,0,"(0, Any, 5)","(1, Any)"
114,TCGAA2A0D201A21RA03407,0A11XGA,1,63,0,0,"(0, Any, 1)","(1, 10)"
