sample	libsize_75percent
SRR1071931.all	98682.5
SRR1071955.all	109339.0
SRR1071983.all	209488.25
SRR1072007.all	97531.0
SRR1072031.all	227525.0
SRR1072055.all	259570.75
SRR1072078.all	171721.25
SRR1072104.all	172413.25
SRR1072129.all	226647.75
SRR1072150.all	244028.75
SRR1072178.all	219873.0
SRR1072199.all	124078.0
SRR1072223.all	221611.25
SRR1072247.all	294604.5
SRR1072269.all	228539.5
SRR1072297.all	190031.5
SRR1072321.all	189050.75
SRR1072345.all	123951.75
SRR1072367.all	189682.25
SRR1072388.all	174895.25
SRR1072412.all	162871.5
SRR1072432.all	171145.5
SRR1072456.all	230571.25
SRR1072480.all	229965.25
SRR1072504.all	339727.0
SRR1072529.all	72598.5
SRR1072554.all	243750.75
SRR1072578.all	206302.75
SRR1072602.all	224104.25
SRR1072626.all	193684.75
SRR1072650.all	121037.5
SRR1072676.all	283218.5
SRR1072700.all	245762.75
SRR1072724.all	294798.25
SRR1072749.all	209968.75
SRR1072773.all	201754.75
SRR1072797.all	253879.5
SRR1072821.all	151948.5
SRR1072845.all	262267.0
SRR1072871.all	110199.0
SRR1072895.all	295923.75
SRR1072920.all	145165.0
SRR1072948.all	247107.75
SRR1072972.all	131752.25
SRR1072998.all	236132.75
SRR1073021.all	99251.25
SRR1073045.all	196001.0
SRR1073069.all	193508.5
SRR1073095.all	248116.75
SRR1073119.all	182360.0
SRR1073143.all	197687.75
SRR1073167.all	98645.75
SRR1073191.all	154371.5
SRR1073217.all	400762.0
SRR1073242.all	289078.75
SRR1073267.all	291150.5
SRR1073291.all	197699.25
SRR1073317.all	199226.75
SRR1073341.all	202231.75
SRR1073365.all	193496.25
SRR1073389.all	257683.0
SRR1073413.all	304083.75
SRR1073435.all	155872.0
SRR1073459.all	155127.25
SRR1073483.all	202508.25
SRR1073507.all	295585.75
SRR1073531.all	227948.75
SRR1073553.all	283395.25
SRR1073581.all	239169.0
SRR1073605.all	197229.5
SRR1073631.all	192667.0
SRR1073655.all	228322.0
SRR1073679.all	204503.25
SRR1073705.all	169395.25
SRR1073731.all	245727.75
SRR1073755.all	220110.0
SRR1073775.all	212453.25
SRR1073878.all	241708.75
SRR1073923.all	217429.25
SRR1073947.all	268973.75
SRR1073971.all	193616.75
SRR1073991.all	142313.5
SRR1074017.all	226106.25
SRR1074041.all	330749.75
SRR1074066.all	111904.75
SRR1074090.all	89607.0
SRR1074116.all	349120.0
SRR1074140.all	238561.25
SRR1074164.all	307847.25
SRR1074189.all	281107.5
SRR1074214.all	303104.25
SRR1074239.all	269255.25
SRR1074263.all	161452.25
SRR1074289.all	313402.25
SRR1074314.all	206688.75
SRR1074337.all	220601.75
SRR1074359.all	134571.75
SRR1074385.all	175402.0
SRR1074410.all	257026.75
SRR1074430.all	225557.25
SRR1074450.all	209687.0
SRR1074474.all	272676.25
SRR1074478.all	190976.0
SRR1074502.all	178979.25
SRR1074526.all	199245.75
SRR1074550.all	250634.0
SRR1074578.all	250033.75
SRR1074602.all	164982.0
SRR1074622.all	236182.25
SRR1074646.all	156328.5
SRR1074670.all	191222.25
SRR1074694.all	365201.0
SRR1074719.all	216908.0
SRR1074744.all	326735.5
SRR1074769.all	231767.5
SRR1074790.all	304041.5
SRR1074815.all	209005.25
SRR1074839.all	193153.25
SRR1074860.all	191291.75
SRR1074884.all	311403.5
SRR1074909.all	411877.25
SRR1074934.all	277440.0
SRR1074956.all	231612.0
SRR1074980.all	195344.0
SRR1075004.all	231440.5
SRR1075028.all	251755.25
SRR1075054.all	233251.0
SRR1075078.all	267757.5
SRR1075102.all	186862.75
SRR1075126.all	222471.25
SRR1075150.all	177173.75
SRR1075174.all	116152.5
SRR1075198.all	268961.0
SRR1075223.all	170506.5
SRR1075247.all	180042.75
SRR1075273.all	210513.0
SRR1075294.all	271629.0
SRR1075314.all	270497.0
SRR1075336.all	157076.25
SRR1075360.all	260293.0
SRR1075384.all	191179.25
SRR1075408.all	277370.25
SRR1075433.all	243214.5
SRR1075458.all	230152.5
SRR1075484.all	272240.25
SRR1075505.all	321871.5
SRR1075530.all	357886.5
SRR1075555.all	205724.0
SRR1075579.all	212036.75
SRR1075603.all	406823.25
SRR1075607.all	402173.75
SRR1075631.all	180137.75
SRR1075659.all	175530.25
SRR1075683.all	248647.5
SRR1075707.all	244760.75
SRR1075729.all	201528.5
SRR1075752.all	244198.75
SRR1075778.all	297455.25
SRR1075804.all	112884.75
SRR1075825.all	344499.0
SRR1075850.all	213090.75
SRR1075874.all	218778.5
SRR1075898.all	244470.25
SRR1075923.all	178385.5
SRR1075947.all	214402.75
SRR1075971.all	195971.0
SRR1075997.all	275118.25
SRR1076022.all	168034.25
SRR1076046.all	278623.5
