sample	libsize_75percent
SRR1068687.all	259623.0
SRR1068788.all	232506.0
SRR1068808.all	216028.0
SRR1068832.all	239465.0
SRR1068855.all	208678.0
SRR1068880.all	345026.0
SRR1068905.all	284131.0
SRR1068929.all	199537.0
SRR1068953.all	165381.0
SRR1068977.all	316816.0
SRR1068999.all	281613.0
SRR1069024.all	51246.0
SRR1069048.all	174847.0
SRR1069074.all	292648.0
SRR1069097.all	214652.0
SRR1069121.all	244967.0
SRR1069141.all	191506.0
SRR1069166.all	259910.0
SRR1069188.all	201556.0
SRR1069209.all	348192.0
SRR1069231.all	223672.0
SRR1069255.all	222913.0
SRR1069279.all	249662.0
SRR1069303.all	374797.0
SRR1069328.all	239295.0
SRR1069352.all	191771.0
SRR1069376.all	239318.0
SRR1069400.all	253723.0
SRR1069421.all	253702.0
SRR1069445.all	203102.0
SRR1069466.all	245333.0
SRR1069490.all	326358.0
SRR1069514.all	259301.0
SRR1069539.all	233866.0
SRR1069564.all	238293.0
SRR1069590.all	266599.0
SRR1069614.all	250009.0
SRR1069638.all	230466.0
SRR1069666.all	171023.0
SRR1069690.all	199504.0
SRR1069714.all	220653.0
SRR1069734.all	329603.0
SRR1069758.all	199918.0
SRR1069778.all	109464.0
SRR1069802.all	124497.0
SRR1069826.all	153164.0
SRR1069850.all	202069.0
SRR1069871.all	182400.0
SRR1069895.all	230501.0
SRR1069919.all	203192.0
SRR1069943.all	571660.0
SRR1069967.all	274753.0
SRR1069991.all	198436.0
SRR1070015.all	255891.0
SRR1070036.all	212628.0
SRR1070060.all	178802.0
SRR1070086.all	361626.0
SRR1070111.all	203312.0
SRR1070133.all	182483.0
SRR1070159.all	297572.0
SRR1070184.all	225942.0
SRR1070208.all	277299.0
SRR1070232.all	245477.0
SRR1070260.all	343327.0
SRR1070286.all	238206.0
SRR1070308.all	173615.0
SRR1070332.all	285122.0
SRR1070358.all	284311.0
SRR1070382.all	177680.0
SRR1070403.all	189964.0
SRR1070455.all	216592.0
SRR1070479.all	315475.0
SRR1070503.all	265453.0
SRR1070525.all	206726.0
SRR1070549.all	186404.0
SRR1070573.all	215897.0
SRR1070597.all	296826.0
SRR1070620.all	165522.0
SRR1070641.all	234465.0
SRR1070665.all	212539.0
SRR1070689.all	115298.0
SRR1070713.all	271463.0
SRR1070738.all	317320.0
SRR1070764.all	271030.0
SRR1070789.all	210612.0
SRR1070813.all	66572.0
SRR1070841.all	223853.0
SRR1070863.all	217371.0
SRR1070884.all	295475.0
SRR1070888.all	255565.0
SRR1070913.all	221545.0
SRR1070937.all	274903.0
SRR1070960.all	212381.0
SRR1070986.all	298364.0
SRR1071011.all	191305.0
SRR1071035.all	301475.0
SRR1071060.all	239694.0
SRR1071084.all	233266.0
SRR1071105.all	238400.0
SRR1071131.all	228794.0
SRR1071157.all	237411.0
SRR1071181.all	194054.0
SRR1071207.all	251090.0
SRR1071231.all	128629.0
SRR1071289.all	67531.0
SRR1071313.all	259767.0
SRR1071337.all	263870.0
SRR1071359.all	271320.0
SRR1071379.all	266453.0
SRR1071403.all	215133.0
SRR1071429.all	271325.0
SRR1071453.all	221244.0
SRR1071475.all	210537.0
SRR1071499.all	178173.0
SRR1071519.all	177587.0
SRR1071543.all	307003.0
SRR1071568.all	374741.0
SRR1071594.all	139001.0
SRR1071620.all	320539.0
SRR1071644.all	248662.0
SRR1071668.all	150859.0
SRR1071692.all	237863.0
SRR1071717.all	205075.0
SRR1071737.all	222571.0
SRR1071761.all	187185.0
SRR1071785.all	265520.0
SRR1071807.all	172252.0
SRR1071832.all	266504.0
SRR1071856.all	292888.0
SRR1071880.all	320334.0
SRR1071905.all	184050.0
SRR1071931.all	103251.0
SRR1071955.all	112656.0
SRR1071983.all	217268.0
SRR1072007.all	100545.0
SRR1072031.all	234286.0
SRR1072055.all	268043.0
SRR1072078.all	177808.0
SRR1072104.all	178034.0
SRR1072129.all	233535.0
SRR1072150.all	253351.0
SRR1072178.all	225272.0
SRR1072199.all	127158.0
SRR1072223.all	228676.0
SRR1072247.all	304606.0
SRR1072269.all	237975.0
SRR1072297.all	196269.0
SRR1072321.all	196081.0
SRR1072345.all	130332.0
SRR1072367.all	195716.0
SRR1072388.all	180433.0
SRR1072412.all	169106.0
SRR1072432.all	177258.0
SRR1072456.all	239296.0
SRR1072480.all	237027.0
SRR1072504.all	349282.0
SRR1072529.all	76440.0
SRR1072554.all	252158.0
SRR1072578.all	212539.0
SRR1072602.all	230407.0
SRR1072626.all	199544.0
SRR1072650.all	124080.0
SRR1072676.all	294319.0
SRR1072700.all	253768.0
SRR1072724.all	305662.0
SRR1072749.all	216940.0
SRR1072773.all	207226.0
SRR1072797.all	261917.0
SRR1072821.all	156350.0
SRR1072845.all	267904.0
SRR1072871.all	115013.0
SRR1072895.all	305083.0
SRR1072920.all	149026.0
SRR1072948.all	254387.0
SRR1072972.all	136404.0
SRR1072998.all	243982.0
SRR1073021.all	102449.0
SRR1073045.all	202028.0
SRR1073069.all	199194.0
SRR1073095.all	256266.0
SRR1073119.all	188462.0
SRR1073143.all	203977.0
SRR1073167.all	101478.0
SRR1073191.all	160827.0
SRR1073217.all	412729.0
SRR1073242.all	298328.0
SRR1073267.all	299155.0
SRR1073291.all	204201.0
SRR1073317.all	206642.0
SRR1073341.all	208025.0
SRR1073365.all	198873.0
SRR1073389.all	266502.0
SRR1073413.all	315257.0
SRR1073435.all	160758.0
SRR1073459.all	159699.0
SRR1073483.all	208940.0
SRR1073507.all	305888.0
SRR1073531.all	232901.0
SRR1073553.all	292218.0
SRR1073581.all	247163.0
SRR1073605.all	205294.0
